Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A2K6Q958	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0042802; GO:2000266	61622	Uncharacterized protein
A0A2K5M602	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0042802; GO:2000266	9531	Uncharacterized protein
A0A2J8UBV4	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0042802; GO:2000266	9601	SERPINC1 isoform 2
A0A2K5PLZ9	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0042802; GO:2000266	1737458	Uncharacterized protein
A0A2K5IC65	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0042802; GO:2000266	336983	Uncharacterized protein
A0N066	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	9544	Antithrombin III
G7MFD7	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	9544	Uncharacterized protein
F6Y0N9	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0010951; GO:0042802; GO:2000266	9544	Uncharacterized protein
F6XBM4	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0042802; GO:2000266	9483	Uncharacterized protein
A0A2K6SZR4	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	39432	Serpin family C member 1
H2Q0N0	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0010951; GO:0042802; GO:2000266	9598	SERPINC1 isoform 1 (Serpin family C member 1)
A0A024R944	unreviewed	GO:0002438; GO:0004867; GO:0005615; GO:0007584; GO:0007595; GO:0008201; GO:2000266	9606	Serpin peptidase inhibitor, clade C (Antithrombin), member 1, isoform CRA_a
Q5R5A3	reviewed	GO:0002020; GO:0004867; GO:0005615; GO:0007596; GO:0008201; GO:0042802; GO:2000266	9601	Antithrombin-III (ATIII) (Serpin C1)
P01008	reviewed	GO:0002020; GO:0002438; GO:0004867; GO:0005576; GO:0005615; GO:0005788; GO:0005886; GO:0007584; GO:0007595; GO:0007596; GO:0008201; GO:0010951; GO:0042802; GO:0043687; GO:0044267; GO:0062023; GO:0070062; GO:0072562; GO:2000266	9606	Antithrombin-III (ATIII) (Serpin C1)
A0A0P6J376	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0042802; GO:2000266	10181	Antithrombin-III
A0A2F0B7Q7	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	9764	Antithrombin-III (Fragment)
A0A1A6G1I5	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	56216	Uncharacterized protein
A0A2I3HE10	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	61853	Uncharacterized protein
A0A1U8BR94	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	10036	antithrombin-III
G5ARS6	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	10181	Antithrombin-III (Fragment)
A0A1U7TCI6	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	1868482	antithrombin-III
A0A096N0R9	unreviewed	GO:0002020; GO:0004867; GO:0005615; GO:0008201; GO:0042802; GO:2000266	9555	Serpin family C member 1
A0A2K6ARS6	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	9545	Uncharacterized protein
A0A2K5UYP4	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	9541	Uncharacterized protein
F6Y0M9	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	9544	Uncharacterized protein
A0A2I3H3W4	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	61853	Uncharacterized protein
A0A2R9CNS0	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	9597	Uncharacterized protein
A0A2I3RL21	unreviewed	GO:0004867; GO:0005615; GO:0008201; GO:2000266	9598	Serpin family C member 1
