Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A161IL64	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	9597	Lactoferrin
H2QMG6	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	9598	LTF isoform 3 (Lactotransferrin)
W8QEY1	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	Lactoferrin
A0A161I202	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	Lactoferrin
A8K494	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	cDNA FLJ78440, highly similar to Human lactoferrin
Q5EK51	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	Lactoferrin
B3VMW0	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	Lactoferrin
A0A286Y4A0	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	10141	Uncharacterized protein
A0A2K6CX71	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9545	Uncharacterized protein
A0A2K6K863	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	61621	Uncharacterized protein
G7NY31	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9541	Uncharacterized protein
A0A2K5WLE6	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	9541	Uncharacterized protein
A0A2I2YFL9	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9595	Lactotransferrin
B1Q146	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	78449	Lactoferrin
A0A161IH84	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9521	Lactoferrin
A0A2K5ELB5	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	37293	Uncharacterized protein
A0A2K6P090	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	61622	Uncharacterized protein
A0A2J8TFX5	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9601	LTF isoform 3
A0A168G3A4	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	33548	Lactoferrin
A0A2K5KGR7	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	336983	Uncharacterized protein
G7MIT6	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9544	Uncharacterized protein
U3CWC7	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9483	Lactotransferrin isoform 1
F7GTU6	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	9483	Lactotransferrin
A0A2K6U4H9	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	39432	Lactotransferrin
F7BYZ5	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	9544	Lactotransferrin isoform 1
V9HWI4	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	Epididymis luminal protein 110
P02788	reviewed	GO:0001503; GO:0001530; GO:0001817; GO:0001895; GO:0002227; GO:0003677; GO:0004252; GO:0004869; GO:0005506; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0006811; GO:0006959; GO:0008201; GO:0009986; GO:0019730; GO:0019731; GO:0019732; GO:0030141; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033214; GO:0033690; GO:0034145; GO:0035580; GO:0042581; GO:0043066; GO:0043123; GO:0043312; GO:0043539; GO:0044218; GO:0044267; GO:0044793; GO:0045071; GO:0045087; GO:0045669; GO:0045837; GO:0048525; GO:0050829; GO:0050830; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:0070062; GO:0071902; GO:0097013; GO:1900159; GO:1900229; GO:1902732; GO:1904724; GO:2000117; GO:2000308; GO:2001205	9606	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]
A0A2J8PAF7	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9598	LTF isoform 5
Q2TUW9	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	Lactoferrin
E7ER44	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	Lactotransferrin
A0A2R8ZLP5	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9597	Uncharacterized protein
A0A2I3TA07	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9598	Lactotransferrin
A0A2J8TFG8	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9601	LTF isoform 5 (Fragment)
A0A2J8PAF6	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9598	LTF isoform 1 (Fragment)
B3KSL2	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	cDNA FLJ36533 fis, clone TRACH2004428, highly similar to Lactotransferrin (Fragment)
E7EQB2	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9606	Lactotransferrin (Fragment)
A0A2J8PAG1	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9598	LTF isoform 6
A0A2J8TFG5	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9601	LTF isoform 2
